Date,Open,High,Low,Close,Adj Close,Volume
2012-10-04,20.913900,20.982201,20.627001,20.866100,17.952398,8694119
2012-10-05,21.207600,21.371500,20.920700,21.030001,18.093410,12422303
2012-10-08,20.954800,21.234900,20.688499,21.077801,18.134533,10652938
2012-10-09,21.105101,21.105101,20.428900,20.558701,17.687922,13160209
2012-10-10,20.558701,20.756800,20.012300,20.080601,17.276575,9724552
2012-10-11,20.264999,20.545000,20.080601,20.251400,17.423532,10686319
2012-10-15,20.203501,20.401600,20.128401,20.360600,17.517483,12717173
2012-10-16,20.579201,20.674801,20.217199,20.428900,17.576250,11390698
2012-10-17,20.531401,20.545000,19.862000,20.422100,17.570396,17803310
2012-10-18,20.292299,20.531401,20.114700,20.367500,17.523420,11397140
2012-10-19,20.367500,20.401600,19.957600,20.148899,17.335346,10973283
2012-10-22,20.183100,20.312799,19.916700,20.046400,17.247149,12398438
2012-10-23,19.500000,19.711800,19.254200,19.411200,16.700649,25739610
2012-10-24,19.452200,20.292299,19.452200,20.203501,17.382328,22518151
2012-10-25,20.476700,20.790899,20.210400,20.490400,17.629162,12987738
2012-10-26,20.271799,20.442600,20.189899,20.210400,17.388260,9666427
2012-10-29,20.148899,20.285500,19.889400,20.217199,17.394110,4643100
2012-10-30,20.360600,20.524500,20.264999,20.463100,17.605679,4060974
2012-10-31,20.490400,20.490400,20.101101,20.271799,17.441084,8825302
2012-11-01,20.148899,21.173401,20.148899,21.173401,18.230278,16649452
2012-11-05,21.036800,21.241699,20.900200,21.152901,18.212626,11192166
2012-11-06,21.241699,21.487600,21.050501,21.351000,18.383184,11676637
2012-11-07,21.241699,21.344200,20.715799,20.818300,17.924538,11490110
2012-11-08,20.927500,21.084600,20.264999,20.353800,17.524603,15647715
2012-11-09,20.285500,20.627001,20.128401,20.367500,17.536396,11495674
2012-11-12,20.340099,20.545000,20.196699,20.353800,17.524603,4911909
2012-11-13,20.388000,20.784100,20.264999,20.729500,17.848089,10254996
2012-11-14,20.592899,20.695299,20.121599,20.442600,17.601051,14631337
2012-11-16,20.285500,20.811399,20.285500,20.517700,17.665718,10592910
2012-11-19,20.483601,21.268999,20.483601,21.152901,18.212626,12813364
2012-11-21,21.111900,21.535400,20.968500,21.412500,18.436144,13020827
2012-11-22,21.473900,21.754000,21.467100,21.665199,18.653711,8127073
2012-11-23,21.631001,21.917900,21.514900,21.917900,18.871286,8766884
2012-11-26,21.774500,21.849600,21.398800,21.514900,18.524309,7347147
2012-11-27,21.542200,21.651501,21.043600,21.180300,18.236216,13145129
2012-11-28,21.002701,21.309999,20.948000,21.275900,18.318527,12653631
2012-11-29,21.357800,21.856400,21.146099,21.815500,18.783123,13673523
2012-11-30,21.740299,22.225300,21.412500,21.938400,18.888939,22525618
2012-12-03,22.109100,22.696501,22.075001,22.539400,19.406401,18571669
